dataset,class,feature,coef,abs_coef
mat,faible,absences,-0.1288563436694033,0.1288563436694033
mat,faible,reason_home,-0.0996222836076751,0.0996222836076751
mat,faible,alcohol_index,0.08069978820393008,0.08069978820393008
mat,faible,health,0.0756356883487338,0.0756356883487338
mat,faible,romantic_yes,0.07493288122561641,0.07493288122561641
mat,faible,reason_other,-0.07411144034091557,0.07411144034091557
mat,faible,age,0.05335242691977851,0.05335242691977851
mat,faible,reason_reputation,0.04824622689499986,0.04824622689499986
mat,faible,Mjob_other,0.014900883186178751,0.014900883186178751
mat,faible,studytime,0.009053534849962451,0.009053534849962451
mat,moyen,schoolsup_yes,0.5891091065165944,0.5891091065165944
mat,moyen,Mjob_services,0.3321487640795789,0.3321487640795789
mat,moyen,school_MS,-0.3127196255673103,0.3127196255673103
mat,moyen,sex_M,-0.30616726686584145,0.30616726686584145
mat,moyen,Mjob_other,0.26144201108221843,0.26144201108221843
mat,moyen,higher_yes,-0.25224159732196577,0.25224159732196577
mat,moyen,address_U,0.23857864171200677,0.23857864171200677
mat,moyen,absences,0.20758100713893635,0.20758100713893635
mat,moyen,failures,-0.18582597121102948,0.18582597121102948
mat,moyen,internet_yes,0.18122081665172454,0.18122081665172454
mat,moyen,goout,-0.16917361952004892,0.16917361952004892
mat,moyen,resource_ambition_count,-0.16085683217730143,0.16085683217730143
mat,moyen,Mjob_health,-0.15969581984696737,0.15969581984696737
mat,moyen,romantic_yes,0.13306441892265544,0.13306441892265544
mat,moyen,alcohol_index,0.12274516862899576,0.12274516862899576
mat,moyen,health,0.11868796101654953,0.11868796101654953
mat,moyen,reason_reputation,-0.11110939562068241,0.11110939562068241
mat,moyen,parent_edu_index,-0.10559876558100122,0.10559876558100122
mat,moyen,studytime,-0.08489673144808808,0.08489673144808808
mat,moyen,age,0.07504671173961781,0.07504671173961781
mat,moyen,reason_home,-0.06336031939417246,0.06336031939417246
mat,moyen,Mjob_teacher,-0.03295194658616121,0.03295194658616121
mat,moyen,risk_index,0.016015580628095105,0.016015580628095105
mat,moyen,reason_other,-0.0027909367112128,0.0027909367112128
por,eleve,schoolsup_yes,-1.6156309803368476,1.6156309803368476
por,eleve,higher_yes,1.2484124978513989,1.2484124978513989
por,eleve,reason_reputation,0.6054758984026473,0.6054758984026473
por,eleve,sex_M,-0.5185757023130633,0.5185757023130633
por,eleve,failures,-0.48867764070306774,0.48867764070306774
por,eleve,school_MS,-0.3505801811156778,0.3505801811156778
por,eleve,romantic_yes,-0.33332949037355486,0.33332949037355486
por,eleve,Mjob_teacher,0.28996810479761354,0.28996810479761354
por,eleve,risk_index,-0.24374661132562764,0.24374661132562764
por,eleve,parent_edu_index,0.2407105264950254,0.2407105264950254
por,eleve,Mjob_health,0.20917769067618588,0.20917769067618588
por,eleve,age,0.20737986187378205,0.20737986187378205
por,eleve,resource_ambition_count,0.20165945461430407,0.20165945461430407
por,eleve,address_U,0.1770075700342492,0.1770075700342492
por,eleve,Mjob_other,0.10739307068542049,0.10739307068542049
por,eleve,health,-0.10383390592449072,0.10383390592449072
por,eleve,reason_other,0.08658895591284958,0.08658895591284958
por,eleve,reason_home,0.08561976817710742,0.08561976817710742
por,eleve,absences,-0.06942689956973536,0.06942689956973536
por,eleve,alcohol_index,-0.06440488854064395,0.06440488854064395
por,eleve,goout,-0.046682412707139576,0.046682412707139576
por,eleve,internet_yes,-0.03564036466772688,0.03564036466772688
por,eleve,studytime,0.014061149817734235,0.014061149817734235
por,eleve,Mjob_services,-0.002490523883502951,0.002490523883502951
por,faible,higher_yes,-1.0959848945256283,1.0959848945256283
por,faible,schoolsup_yes,0.9008809497522197,0.9008809497522197
por,faible,school_MS,0.632720800639656,0.632720800639656
por,faible,reason_reputation,-0.5740784846755317,0.5740784846755317
por,faible,failures,0.5387713833683441,0.5387713833683441
por,faible,sex_M,0.4925309242811324,0.4925309242811324
por,faible,romantic_yes,0.39192893686885194,0.39192893686885194
por,faible,Mjob_teacher,-0.3807657982373333,0.3807657982373333
por,faible,reason_home,-0.3654474193371519,0.3654474193371519
por,faible,Mjob_health,0.28987998103774626,0.28987998103774626
